,processed_problem,processed_action
1104,l/h engine l/h aft engine baffle chafed on cylinder,removed replaced l/h engine cylinder 4 aft baffle
1105,engine baffle snap plug tab broken off,installed new engine baffle plugs
1106,1 rocker cover leaking,removed replaced 1 rocker cover gasket
1107,l/h engine 3 4 rocker cover gaskets leaking,removed replaced rocker gaskets w/ new
1108,r/h engnie cylinder 3 intake gasket leaking,removed replaced cylinder 3 intake gasket r/h engine
1109,rocker cover gaskets 1 2 4 on r/h engine leaking,removed replaced r/h engine rocker cover gaskets
1110,3 intake leaking on l/h engine,removed replaced intake gasket
1111,l/h engine 2 intake leaks,replaced gasket
1112,r/h engine cylinder 4 rocker cover gasket leaking,removed replaced gasket
1113,engine rpm reached 2760 for approx 2 seconds,c/w lycoming no defects noted no further acti
1114,cylinder 2 intake leaking,replaced intake gaskets
1115,l/h engine 4 induction tube gasket leaking,removed replaced intake gasket
1116,r/h engine 3 cylinder intake gasket leaks,removed replaced 3 cylinder intake gasket
1117,l/h engine 2 intake gasket leaking,removed replaced intake gasket w/ new
1118,idle mixture needs adjustment,rerigged mixture arm iaw hmi
1119,idle mixture needs adjustment,removed mixture arm reindexed again a/c was started
1120,idle mixture needs adjustment,reindexed mixture control ran up a/c mixture rise sti
1121,idle mixture needs adjustment,a/c was ground ran by pilot idle mixture speed now c
1122,idle mixture needs adjustment,a/c/ was started but would only run a few seconds all
1123,cylinder 2 intake pipe gasket leaking,removed replaced intake gasket
1124,2 rocker cover leaking,removed replaced 2 rocker cover gasket
1125,2 intake leaking,replaced gasket
1126,4 intake leaking,replaced gasket
1127,3 intake leaking on r/h engine,replaced gasket
1128,3 intake leaking on l/h engine,removed replaced intake gasket cylinder 3
1129,2 3 rocker cover leaking on l/h engine,removed replaced rocker cover gaskets
1130,2 3 rocker cover gaskets leaking on r/h engine,replaced 2 3 rocker cover gaskets r/h
1131,worn out thrust button rocker shaft cylinder 3 l/h engine,removed replaced thrust buttons on cylinder 3
1132,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
1133,cylinder 2 intake gasket leaking,removed replaced gasket
1134,l/h engine 1 2 4 intakes leaking,removed replaced 1 2 gaskets
1135,r/h engine 2 cylinder compression low,installed rocker cover gasket
1136,l/h engine 1 2 4 intakes leaking,removed replaced cylinder 4 intake gasket
1137,r/h engine 2 cylinder compression low,staked exhaust valve pressure came up to 65/80 psi
1138,2 forward baffle cracked,stop drilled crack
1139,4 rocker box cover gasket leaking,installed 4 rocker box cover gasket
1140,baffle cracked aft of 4 cylinder,fabricated patch doubler of like material
1141,baffle cracked aft of 4 cylinder,installed patch doubler iaw
1142,back l/h baffle cracked,stop drilled crack
1143,4 intake leaking,removed replaced cylinder 4 intake gasket
1144,l/h baffle plug needs to be replaced,removed replaced baffle plug
1145,r/h baffle spark plug access button worn,removed replaced baffle button
1146,rocker cover gasket cylinder 2 3 leaking,replaced both rocker cover gaskets
1147,cylinder 3 aft baffle screw loose,removed dipstick housing removed oil cooler from baffl
1148,cylinder 4 rocker cover leaking,replaced rocker cover gasket
1149,dipstick tube loose,tightened dipstick tube resafetied
1150,r/h side baffle missing a screw,installed new screw on baffle
1151,2 rocker cover leaking,removed replaced rocker cover gasket
1152,r/h back baffle bracket rivet head missing,removed back baffle to gain access remvoed rivets re
1153,3 cylinder rocker cover gasket leaking,removed gasket during installation tore new gasket re
1154,1 2 4 rocker covers leaking,removed replaced rocker gaskets
1155,both spark plug baffle plugs worn,removed replaced spark plug baffle plugs
1156,3 intake leaking on r/h engine,removed replaced 3 intake gasket on r/h engine
1157,4 intake leaking on l/h enigne,removed replaced 4 intake gasket on l/h engine
1158,l/h inner baffle spring broken,removed replaced baffle spring w/ new
1159,l/h baffle requires patch,fabricated patch of like material riveted installed
1160,aft alternator mounting bolt eating into scroll mount,inspected mount no defects noted
1161,excessive end play at throttle cable attachment,inspected throttle cable attachment no defects noted
1162,1 intake leaking,removed replaced gasket
1163,2 4 rocker covers leaking,removed replaced gaskets
1164,cylinder 2 rocker cover leaking,removed replaced cylinder 2 rocker cover gasket
1165,3 induction tube gasket leaking,installed new induction tube gasket
1166,2 induction tube gasket leaking,installed new induction tube gasket
1167,1 intake leaking on l/h engine,removed replaced intake gasket
1168,1 2 intakes leaking on r/h engine,removed replaced intake gaskets
1169,2 induction tube gasket leaking,installed new induction tube gasket
1170,2 4 baffle outer tie spring broken,installed new outer baffle tie
1171,2 4 baffle inner tie spring out of place,reinstalled baffle tie in correct position
1172,2 rocker cover leaking,removed replaced 2 rocker cover gasket
1173,oil leak from l/h engine,ran a/c leak check good
1174,oil leak from l/h engine,tightened top bolts on top of case washed engine
1175,2 rocker cover leaking on l/h engine,removed replaced rocker cover gasket
1176,2 rocker cover leaking on r/h engine,removed replaced rocker cover gasket
1177,2 rocker cover thrust button on r/h engine broken,removed replaced thrust button
1178,2 rocker cover thrust buttons on l/h engine broken,removed replaced thrust buttons
1179,cylinder 3 baffle screw secured to crankcase missing,installed new screw
1180,rocker cover gasket cylinder 3 leaking,removed replaced 2 rocker cover gasket
1181,baffle support on aft copilot side engine baffle loose,removed copilot side aft engine baffle resecured baffl
1182,after completing steep spirals at power idle smoothly appli,maintenance flight required
1183,after completing steep spirals at power idle smoothly appli,performed ground run of a/c unable to duplicate discre
1184,r/h engine 3 cylinder loose baffle rubbing on oil return line cy,adjusted baffle support rod tightened lock nuts after
1185,cylinder 2 intake leaking,replaced intake gasket
1186,r/h engine 3 intake leaking,replaced w/ new gasket
1187,r/h engine l/h forward baffle seal gone,installed new baffle seal
1188,l/h side baffle cracked,replaced l/h side baffle w/ serviceable part
1189,plugs for engine baffling worn,replaced both plugs
1190,3 4 rocker covers leaking,removed replaced 3 rocker cover gasket tightened sc
1191,r/h engine 2 baffle missing a bolt,installed new screw
1192,r/h 4 aft baffle cracked,stop drilled crack
1193,rocker box cover screws loose,retorqued screws
1194,side baffle plugs have many missing fingers,removed replaced plugs
1195,2 rocker cover leaking,removed replaced gasket
1196,baffle screw behind dipstick loose,removed dipstick installed new screw reinstalled dips
1197,2 4 cylinder rocker cover gaskets leaking on r/h engine,removed replaced 2 4 cylinder rocker cover gaskets on r
1198,2 rocker cover leaking,removed replaced rocker cover gasket
1199,l/h engine baffle seal above 4 cylinder torn,installed new seal
1200,rocker cover gasket cylinder 2 r/h engine leaking,removed replaced gasket
1201,intake gasket cylinder 3 r/h engine leaking,removed replaced intake gasket
1202,cylinder 3 4 rocker cover gaskets leaking on l/h engine,removed replaced rocker cover gaskets
1203,cylinder 3 aft upper baffle seal loose,resecured baffle seal
1204,both baffle plugs missing too many tabs,installed baffle plugs
1205,4 intake gasket leaking,replaced w/ new gasket
1206,4 rocker cover gasket leaking,replaced w/ new gasket
1207,side baffle plugs missing fingers,replaced w/ new plugs
1208,2 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1209,l/h 1 2 3 rocker gaskets leaking,replaced rocker gaskets
1210,l/h 4 intake gasket leaking,removed replaced 4 intake gasket
1211,l/h 3 cylinder rocker shaft thrust buttons deteriorated,replaced buttons
1212,r/h engine r/h rear engine baffle seal loose,reattached r/h rear baffle
1213,4 intake leaking,removed replaced gasket
1214,3 rocker cover leaking,removed replaced 3 rocker gasket
1215,2 4 rocker cover leaking,removed replaced 2 4 rocker cover gaskets
1216,rivets missing on engine data plate,installed rivets
1217,3 4 intakes leaking on l/h engine,replaced gaskets
1218,2 3 intakes leaking on r/h engine,replaced gaskets on 2 3
1219,2 rocker cover leaking on r/h engine,removed replaced rocker cover gasket
1220,2 3 4 rocker covers leaking on l/h engine,removed replaced rocker cover gaskets
1221,rocker cover gasket cylinder 2 leaking,removed replaced rocker cover gasket
1222,2 4 rocker covers leaking on r/h engine,tightened all rocker covers
1223,crack on engine baffle left side by 3 cylinder,installed baffle
1224,crack on engine baffle left side by 3 cylinder,removed baffle fabricated patch of like material rive
1225,l/h baffle seal requires replacement,removed replaced baffle seal w/ new
1226,r/h engine 4 rocker cover leaks,removed replaced r/h engine 4 rocker cover gasket
1227,r/h engine 1 4 intakes leaking,removed replaced r/h engine 1 4 intake gaskets
1228,l/h engine cylinder 3 rocker gasket leaking,removed replaced l/h engine 3 rocker cover gasket
1229,r/h engine 2 3 rocker covers leaking,removed replaced r/h engine 2 3 rocker cover gaske
1230,r/h engine 4 cylinder has low compression 20/80 psi,compression 20/80 staked exhaust valve w/ no affect c
1231,r/h engine 4 cylinder has low compression 20/80 psi,removed replaced 4 cylinder iaw direct drive overhau
1232,r/h 3 aft baffle seal loose,resecured baffle seal
1233,l/h 2 intake gasket leaking,removed replaced gasket
1234,l/h engine o/b baffle tie rod broken,replaced baffle tie rod
1235,4 intake gasket leaking r/h engine,removed replaced gasket
1236,r/h 2 side baffle seal loose,removed replaced baffle seal
1237,2 4 intakes leaking,removed replaced intake gaskets
1238,engine baffle cylinder 3 mount bracket sheared rivet,removed replaced rivets by removing baffle reinstal
1239,l/h baffle plug hole too large,installed baffle patch made out of like material
1240,3 4 intake leaking,removed replaced gaskets
1241,2 3 4 rocker covers leaking,removed replaced gaskets
1242,rivet sheared r/h aft baffle,removed baffle from a/c removed replaced damaged riv
1243,r/h engine oil return lines leaking,leak check good
1244,r/h engine oil return lines leaking,tightened clamps
1245,r/h engine 3 intake leaking,removed replaced gasket
1246,l/h engine 4 intake leaking,removed replaced gasket w/ new
1247,l/h engine 3 rocker cover leaking,removed replaced gasket w/ new
1248,r/h engine 2 3 rocker covers leaking,removed replaced gaskets
1249,3 rocker cover leaking,removed replaced gasket
1250,3 intake leaking,removed replaced intake gasket w/ new
1251,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
1252,l/h button plug worn,removed replaced button plug w/ new
1253,while taxing engine coughed sputtered anytime rpms were b,engine ran smooth at different settings
1254,while taxing engine coughed sputtered anytime rpms were b,ran engine noted discrepancy rough engine below 1000
1255,cylinder 2 intake pipe gasket leaking,removed replaced intake gasket
1256,2 cylinder rocker cover gasket leaking,removed replaced rocker gasket w/ new
1257,r/h engine oil cooler baffle cracked,replaced cracked baffle w/ serviceable baffle
1258,rocker cover gasket cylinder 2 3 leaking,removed replaced rocker cover gaskets
1259,intercylinder baffle support rod broken,removed replaced intercylinder baffle rod
1260,r/h engine oil return like clamps loose,tightened clamps
1261,r/h engine baffle cracked by oil cooler,removed oil cooler cleaned area no cracking noted r
1262,l/h engine cylinder 3 rocker cover gasket leaking,removed replaced l/h engine cylinder 3 rocker cover gasket
1263,cylinder 3 rocker cover missing a screw,installed new screw
1264,2 rocker cover leaking,removed replaced gasket
1265,cylinder 2 intake leaking,removed replaced 2 intake gasket
1266,wiring holder broken on cylinder 1,removed replaced anchor stand assembly
1267,3 rocker cover gasket leaking,removed replaced gasket
1268,4 intake gasket leaking,replaced w/ new gasket
1269,2 induction tube gasket leaking,replaced gasket
1270,hidden damage insp required for engine fire,performed hidden damage on affected area no damage not
1271,2 intake leaking,removed replaced gasket w/ new
1272,cylinder 3 rocker cover leaking,replaced rocker cover gasket
1273,2 1 intake r/h engine leaking,removed replaced gaskets
1274,2 rocker cover leaking,removed replaced rocker cover gasket
1275,l/h engine intake gasket cylinder 2 leaking,removed replaced gasket for l/h engine cylinder 2 intake
1276,l/h engine cylinder 1 2 3 rocker cover gaskets leaking,removed replaced l/h engine cylinder 1 2 3 rocker cover ga
1277,2 rocker cover leaking,removed replaced rocker cover gaskets on cylinder 1 2
1278,2 rocker cover leaking,removed replaced gasket
1279,4 rocker cover leaking,removed replaced gasket
1280,6 cowl shock mount torn,removed replaced cowl shock mount
1281,2 intake leaking on l/h engine,removed replaced 2 intake gasket
1282,3 rocker cover leaking on l/h engine,removed replaced 3 rocker gasket
1283,rocker covers 1 3 leaking on r/h engine,removed replaced rocker gaskets
1284,rocker cover gasket 3 torn,removed replaced rocker cover gasket
1285,l/h r/h engine baffle plugs damaged,removed replaced l/h r/h engine baffle plugs
1286,l/h engine 4 cylinder intake gasket leaking,removed replaced gasket
1287,l/h engine 3 cylinder rocker cover gasket leaking,removed replaced gasket
1288,3 intake tube rubbing on baffle,adjusted baffle
1289,2 intake tube leaks at cylinder,removed replaced intake tube gasket seal
1290,loose engine ground,tightened engine ground cable
1291,intake gasket cylinder 4 leaking,removed replaced intake gasket
1292,rocker cover gasket cylinder 4 leaking,removed replaced rocker cover gasket
1293,baffle support steel rod cylinder 2 4 missing,installed new baffle fastener for cylinder 2 4
1294,intake gaskets cylinder 2 4 leaking,removed replaced intake gaskets
1295,rocker cover gaskets cylinder 2 4 leaking,removed replaced rocker cover gaskets
1296,3 cylinder aft baffle bracket loose bracket secured to engine c,removed 3 aft baffle replaced screws in bracket rein
1297,r/h baffle plug needs to be replaced,installed new baffle plug
1298,3 rocker cover gasket torn,installed new 3 rocker box cover gasket
1299,2 rocker cover leaking,removed replaced 2 rocker cover gasket
1300,3 intake leaking,removed replaced gasket
1301,3 rocker cover leaking,removed replaced gasket
1302,rocker cover gasket 3 torn,removed replaced rocker cover gasket
1303,side baffle plugs missing fingers,replaced w/ new plugs
1304,l/h engine 2 4 rocker covers leaking,removed replaced rocker cover gaskets
1305,rocker cover gaskets cylinder 2 3 leaking,removed replaced rocker cover gasket
1306,intake tube leaking at connection point w/ oil sump cylinder 4,cleaned performed engine run up confirmed discrepanc
1307,intake tube leaking at connection point w/ oil sump cylinder 4,reswaged intake pipe iaw lycoming overhaul manual ins
1308,upper r/h baffle seal loose,resecured baffle seal
1309,r/h engine running rough engine was fine low altitudes o,ran up a/c no engine roughness noted checked good at
1310,cylinder 4 aft baffle cracked,stop drilled crack on baffle
1311,cylinder 4 2 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1312,intake 2 leaking on l/h engine,installed new intake gasket
1313,2 rocker shaft thrust plug broken,installed new rocker shaft thrust button
1314,rocker covers 2 3 4 leaking on l/h engine,installed new rocker box cover gaskets
1315,left rear baffle cracked on r/h engine,removed replaced left rear baffle on r/h engine
1316,2 intake gasket leaking,replaced gasket
1317,3 rocker gasket leaking,replaced rocker gasket
1318,l/h engine cylinder 2 3 intake gaskets leaking,removed replaced intake gaskets
1319,l/h engine cylinder 3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
1320,r/h engine cylinder 3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
1321,1 intake gasket leaking,replaced gasket
1322,3 rocker cover gasket leaking,removed replaced gasket
1323,rocker cover gasket on cylinder 2 leaking,removed replaced rocker cover gasket
1324,sheared rivet on cylinder 3 baffle aft,replaced rivets w/ screws/washers/nuts
1325,2 4 cylinder rocker cover gaskets leaking,removed replaced rocker cover gaskets
1326,cylinder 3 intake tube flange leaking fuel connection between t,reswaged intake tube iaw lycoming overhaul
1327,1 rocker cover leaking,removed replaced rocker cover bracket
1328,top baffle back side rivets missing,installed screws where rivets missing
1329,1 cylinder stand off broken,removed replaced plastic holder on stand off resecu
1330,2 3 rocker covers leaking,removed replaced rocker cover gaskets
1331,forward r/h side engine baffle cracked,stop drilled crack in forward r/h engine baffle
1332,cylinder 1 2 intake gaskets leaking,removed replaced cylinder 1 2 intake gaskets
1333,intake gasket cylinder 4 leaking,removed replaced intake gasket
1334,rocker cover gasket cylinder 2 leaking,removed replaced rocker cover gasket
1335,3 intake leaking on l/h engine,replaced gasket
1336,baffle corner by cylinder 4 cracked,stop drilled crack
1337,cylinder 1 3 2 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1338,rear engine baffle bracket loose,removed baffle installed new rivets to hold bracket r
1339,engine overspeed to 3300 rpm,changed oil filter checked sump screen changed oil
1340,r/h engine baffle screw missing,replaced screw
1341,a/c wouldnt start,started a/c checked ok
1342,3 intake leaking on r/h engine,removed replaced 3 intake gasket on r/h engine
1343,2 intake leaking,replaced gasket
1344,2 rocker cover leaking,removed replaced gasket
1345,r/h back baffle rivet head sheared,completed reassembly
1346,r/h back baffle rivet head sheared,removed back baffle installed screws where rivets wher
1347,r/h l/h engine baffle seal loose,resecured r/h l/h baffle seal
1348,2 3 4 cylinder rocker cover gaskets leaking,removed replaced rocker cover gaskets
1349,l/h 2 3 rocker gaskets leaking,removed replaced rocker cover gaskets
1350,r/h 2 4 rocker gaskets leaking,removed replaced rocker cover gaskets
1351,2 rocker cover gasket leaking,removed replaced rocker cover gasket
1352,3 rocker cover gasket leaking,removed replaced rocker cover gasket
1353,3 rocker cover leaking on l/h engine,removed replaced gasket
1354,2 intake leaking on l/h engine,removed replaced intake gasket
1355,r/h engine 2 4 cylinder rocker cover gaskets leaking,removed replaced gaskets
1356,r/h engine 1 3 intake gaskets leaking,removed replaced intake gaskets on r/h engine
1357,all 4 rocker gaskets leaking,replaced w/ new rocker gaskets leak check good
1358,2 3 intake gaskets leaking,replaced w/ new intake gaskets leak check good
1359,1 2 3 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1360,3 rocker cover leaking,removed replaced 3 rocker cover gasket
1361,2 3 intakes leaking on l/h engine,removed replaced gaskets
1362,r/h engine 2 rocker cover gasket leaking,removed replaced gasket
1363,2 3 rocker covers leaking on l/h engine,removed replaced gaskets
1364,l/h carburetor heat bracket loose,removed replaced loose rivets
1365,r/h 4 intake gasket leaking,removed replaced intake gasket
1366,3 rocker cover leaking,reoved replaced 3 rocker cover gasket
1367,1 rocker cover gasket leaking,removed replaced rocker cover gasket
1368,mixture check fails rpm 200 rise,ran a/c adjusted idle mixture iaw hmi checks good
1369,4 intake gasket leaking,removed replaced intake gasket
1370,aft baffle bracket missing screw,installed new screw on baffle
1371,3 4 intake gaskets leaking,replaced gaskets
1372,2 intake gasket leaking,removed replaced gasket w/ new
1373,l/h aft baffle cracked,stop drilled crack on aft baffle
1374,rocker cover gaskets cylinder 2 3 4 leaking,removed replaced rocker cover gaskets
1375,r/h aft baffle support rivets sheared,removed baffle drilled out sheared rivets installed s
1376,top baffle cracked,fabricated patches out of like material installed ri
1377,l/h aft baffle cracked,fabricated patch out of like material installed rive
1378,l/h side baffle cracked,procured serviceable side baffle installed on pilot drill 2
1379,r/h side baffle cracked,patched r/h side baffle w/ like material riveting iaw
1380,induction air filter can be replaced,installed new filter next due 39613 tach
1381,both lower deflectors cracked,patched deflectors w/ like material
1382,forward l/h baffle antichafe strip fell off,cleaned baffle reinstalled antichafe strip
1383,3 intake leaking,removed replaced intake gasket
1384,r/h 3 aft baffle cracked,stop drilled crack
1385,l/h 3 intake gasket leaking,removed replaced intake gasket
1386,r/h 2 4 intake gaskets leaking,removed replaced intake gaskets
1387,l/h all 4 rocker gaskets leaking,removed replaced all rocker cover gaskets
1388,r/h engine all 4 rocker gaskets leaking,removed replaced all rocker cover gaskets
1389,engine dirty,washed engine
1390,2 rocker cover leaking,removed replaced rocker cover gasket
1391,1 3 4 rocker covers leaking,removed replaced gaskets
1392,cylinder 2 1 rocker cover gaskets leaking,replaced rocker cover gaskets
1393,rocker cover gasket from 3 cylinder torn,removed replaced w/ new gasket
1394,rear r/h engine baffle bracket rivets sheared,removed rear r/h engine baffle installed new rivets to
1395,3 intake leaking,removed replaced 3 intake gasket
1396,r/h rear engine baffle screw loose,tightened screw
1397,engine dirty,cleaned engine
1398,2 intake leaking,removed replaced gasket
1399,missing screw front baffle on r/h side,installed new screw
1400,1 2 4 rocker covers leaking,removed replaced gaskets
1401,3 intake gasket leaking,replaced gasket
1402,2 3 rocker gasket leaking,removed replaced gasket
1403,rocker cover gasket 3 cylinder leaking,removed replaced rocker cover gasket
1404,aft engine baffle by cylinder 3 support secured to engine case,removed replaced rivets for engine baffle bracket by
1405,3 rocker cover leaking on l/h engine,replaced gasket
1406,2 rocker cover leaking on r/h engine,removed replaced rocker cover gasket
1407,cylinder 2 intake gasket leaking,removed replaced gasket
1408,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
1409,rear r/h engine baffle bracket cracked,removed rear r/h engine baffle fabricated new bracket
1410,r/h rear engine baffle mounting screw missing,installed new screw
1411,2 4 rocker cover leaking,removed replaced rocker cover gaskets
1412,engine dirty,washed engine
1413,cylinder 1 forward baffle cracked,stop drilled cylinder 1 forward baffle
1414,3 rocker cover leaking,removed replaced 3 rocker cover gasket
1415,student couldnt start a/c,started a/c
1416,engine running rough at idle,ran a/c confirmed discrepancy
1417,l/h engine cylinder 3 aft baffle cracked,stop drilled crack
1418,r/h engine 3 intake tube leaking,replaced gasket
1419,l/h engine 2 3 4 rocker box covers leaking,removed replaced gaskets
1420,impeller making contact w/ scroll,clearanced impeller to scroll by removing shim in lower
1421,r/h engine 2 cylinder intake gasket leaking,removed replaced gasket
1422,l/h engine cylinder rocker cover gasket leaking,removed replaced gasket
1423,l/h engine 4 cylinder aft upper support bracket cracked on baffle,removed replaced bracket
1424,r/h engine cylinder 3 1 rocker cover gaskets leaking,removed replaced r/h engine cylinder 1 3 rocker cover gaske
1425,2 4 rocker covers leaking,removed replaced gasket
1426,3 rocker cover gasket leaking,removed replaced gasket w/ new
1427,on climb out engine lost about 250 rpm,ran a/c could not duplicate problem
1428,rocker cover gaskets cylinder 2 4 leaking,removed replaced rocker cover gaskets
1429,engine over ride speed was 1225 rpm,ran a/c adjusted idle speed checks good
1430,1 rocker cover leaking,removed replaced gasket
1431,cylinder 3 external gasket 1/2 gone,replaced external gasket
1432,oil cooler lines lacing cord fallling apart,replaced lancing cord
1433,r/h engine cylinder 4 3 intake gaskets leaking,removed replaced gaskets
1434,l/h engine cylinder 1 3 intake gaskets leaking,removed replaced l/h engine cylinder 1 3 intake gaskets
1435,l/h engine cylinder 2 3 4 rocker cover gaskets leaking,removed replaced lh/ engine rocker cover gaskets
1436,r/h engine all cylinder rocker cover gaskets leaking,removed replaced all cylinder rocker cover gaskets on r/h
1437,cylinder 4 intake gasket leaking,removed replaced intake gasket w/ new
1438,r/h engine 3 cylinder has low compression 54/80,ran a/c rechecked compression now 65/80
1439,r/h engine 2 3 rocker covers leaking,removed replaced 2 3 rocker cover gaskets on r/h e
1440,l/h engine 1 3 rocker covers leaking,removed replaced l/h engine 1 3 rocker cover gaskets
1441,r/h engine 4 cylinder aft baffle wire harness tab cracke,removed cracked part fabricated part w/ similar materi
1442,2 rocker cover leaking,removed replaced rocker cover w/ new
1443,4 rocker cover leaking,removed replaced rocker cover gasket
1444,2 intake gasket leaking,replaced w/ new gasket leak check good
1445,1 cylinder missing a rocker cover screw,installed screw checked all other screws ok
1446,intake gasket cylinder 2 leaking,removed replaced intake gasket
1447,rocker cover gasket cylinder 4 leaking,removed replaced rocker cover gasket
1448,cylinder 2 3 rocker covers leaking,removed replaced rocker cover gaskets
1449,3 cylinder exhaust valve push rod tube appears to be leakin,cleaned area
1450,3 cylinder exhaust valve push rod tube appears to be leakin,leak check good
1451,intakes 2 3 4 leaking on r/h engine,removed replaced gaskets
1452,intakes 2 4 leaking on l/h engine,removed replaced intake gaskets
1453,rocker covers 1 2 4 leaking on l/h engine,removed replaced rocker cover gaskets
1454,3 cylinder on r/h engine has low compression,run up leak check good compression 75/80
1455,3 cylinder on r/h engine has low compression,staked valves reinstall cover w/ new gasket
1456,3 cylinder on r/h engine has low compression,3 cylinder press low even after engine run up removed r/h
1457,3 cylinder on r/h engine has low compression,found leaky intake valve disassembled cylinder dresse
1458,3 cylinder on r/h engine has low compression,dry tappet clearance check good w/ shorter push rod on int
1459,3 cylinder on r/h engine has low compression,honed cylinder measured bore check ok cleaned piston fi
1460,r/h engine 1 intake leaking,removed replaced intake gasket
1461,l/h engine 2 intake tube gasket leaking,installed new intake tube gasket
1462,a/c would not start,started a/c
1463,cylinder 2 l/h engine intake gasket leaking,removed replaced l/h engine cylinder 2 intake gasket
1464,r/h engine cylinder 1 2 3 4 rocker covers leaking,removed replaced r/h engine rocker cover gaskets
1465,l/h engine cylinder 1 3 4 rocker cover gaskets leaking,removed replaced l/h engine cylinder 1 3 4 rocker cover g
1466,1 cylinder lower intake clamps loose,adjusted both clamps to access better tightened
1467,2 3 rocker covers leaking,removed replaced gaskets
1468,crack in aft engine baffle oil cooler on r/h engine,stop drilled crack
1469,3 intake leaking on r/h engine,removed replaced 3 intake gasket on r/h engine
1470,idle override low,pilot ran a/c adjusted idle speed checks good
1471,1 3 4 cylinder rocker covers leaking,replaced rocker cover gaskets cylinder 3 holes had to be t
1472,cylinder 2 rocker cover gasket leaking,removed replaced rocker cover gasket
1473,cylinder 2 rocker cover gasket leaking,removed replaced cylinder 2 rocker cover gasket
1474,spark plug access hole on baffle cylinder 4 elongated,fabricated patch around access hole riveted
1475,2 rocker cover leaking,removed replaced rocker cover gasket
1476,cylinder 2 intake gasket leaking,removed replaced intake gasket
1477,2 4 rocker cover gaskets leaking,removed replaced 2 4 rocker cover gaskets
1478,intake gasket cylinder 2 leaking,removed replaced intake gasket
1479,rocker cover gaskets cylinder 1 2 3 leaking,removed replaced rocker cover gaskets
1480,front rubber baffle on engine r/h side ripped from mountin,installed new rivet on baffle
1481,r/h baffle has a crack,stop drilled crack
1482,cylinder 4 intake leaking,removed replaced cylinder 4 intake
1483,cylinder 3 rocker cover leaking,removed replaced cylinder 3 rocker cover gasket
1484,cylinder 1 rocker cover gasket torn,removed replaced rocker cover gasket
1485,cylinder 4 intake gasket leaking,removed replaced intake gasket
1486,cylinder 1 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1487,4 intake leaking on l/h engine,replaced gasket
1488,1 4 intakes leaking on r/h engine,removed replaced gaskets
1489,all rocker cover screws loose,tightened all screws
1490,l/h engine cylinder 3 aft baffle cracked,stop drilled crack
1491,l/h engine cylinder 1 3 inner cylinder baffle tie rod aft nut magnetic indicator,installed new nut
1492,cylinder 2 3 4 intake gaskets leaking on l/h engine,removed replaced gaskets
1493,cylinder 1 3 rocker cover gaskets leaking on l/h engine,removed replaced cylinder 3 rocker cover gaskets
1494,r/h engine cylinder 1 3 rocker cover gaskets leaking,removed replaced r/h engine cylinder 1 3 rocker cover gask
1495,cylinder 3 intake pipe needs to be reswedged into sump,reswedged intake tube iaw lycoming overhaul
1496,r/h rear baffle mounting screw loose,tightened screw
1497,2 intake tube gasket leaking,installed new 2 intake tube gasket
1498,1 intake leaking,replaced gasket
1499,2 intake gasket leaking,replaced gasket
1500,2 3 4 rocker gaskets leaking,replaced gaskets
1501,r/h side baffle cracked,fabricated patch w/ like materials riveted iaw
1502,1 rocker cover leaking,removed replaced rocker cover gasket
1503,2 forward lower baffle has crack,stop drilled crack
1504,4 intake leaking,removed replaced gaskets
1505,2 intake leaking,removed replaced 2 intake gasket
1506,2 rocker cover leaking,removed replaced 2 rocker cover gasket
1507,3 rocker cover leaking,removed replaced 3 rocker cover gasket
1508,cylinder 4 rocker cover gasket leaking,removed replaced rocker cover gasket
1509,2 4 intake gaskets leaking,removed replaced gaskets w/ new
1510,l/h intercylinder baffle loose,tightened tie rod
1511,l/h side of engine baffle wire loose,installed new tie wire
1512,l/h engine cylinder 2 intake gasket leaking,removed replaced intake gasket
1513,r/h engine cylinder 3 intake gasket leaking,removed replaced intake gasket
1514,l/h engine r/h back baffle cracked,stop drilled crack
1515,l/h engine 2 intake leaking,removed replaced 2 intake gasket
1516,l/h engine 3 rocker cover leaking,removed replaced rocker cover gasket
1517,engine baffle behind alternator cracked,stop drilled crack
1518,rocker cover gaskets 2 4 leaking,removed replaced rocker cover gaskets
1519,r/h forward baffle cracked,stop drilled crack
1520,3 rocker cover leaking,removed replaced gasket w/ new
1521,r/h engine baffle screw missing,installed new screw
1522,4 intake leaking on r/h engine,removed replaced 4 intake gasket on r/h engine
1523,forward baffle chafing on muffler shroud,repositioned baffle
1524,cylinder 4 intake leaking,removed replaced intake gasket
1525,1 rocker cover leaking,removed replaced 1 rocker cover gasket
1526,3 rocker cover leaking,removed replaced 3 rocker cover gasket
1527,3 intake gasket leaking,removed replaced 3 intake gasket
